Parameter Name,Type,Parameters,Description
attributeId,string or string[],,"The unique ID of the attribute affected by this event, or list of IDs if more than one."
attributeValue,string or string[],,"The value of the attribute in ""attributeId"" being affected. Also may be a list."
commentText,string,,the full text that the teacher entered in the comment
curriculumFacet,string,"{""problem""; ""teacher guide""}",indicates problem or teacher guide
curriculumSection,string,,The name of the curriculum section in the CLUE teacher guide
documentKey,string,,The unique ID of the CLUE document
documentTitle,string,,The title of the CLUE document
documentType,string,"{""problem""; ""planning""; ""publication""; ""learningLog""}",the type of document on which the comment was placed
documentUid,string,,This tells you the username of the owner of the document.
Title,string,,The title of the CLUE tile
targetGroupID,string,,"If the message/support was sent to a whole group, this column will include the group number"
targetUserID,string,,"If the message/support was sent to an individual student, this column will include the student’s username."
sectionId,string,,Identifier of the curriculum section
sectionType,string,,check
type,string,"{""group""; ""user""}",This column will describe whether the support was sent to a group or an individual student
classHash,string,,a unique identifier generated by the system for every class the teacher creates
objectType,string,,"The type of CLUE object. Types of objects are ""drawing"" ""geometry"" ""image"" ""table"" ""text"""
tab_section_name,string,,
tab_section_type,string,,
tab_name,string,,
selected_group,string,,
networkUsername,string,,
group,string,,
operation,string,"for geometry: {create, update, delete}. For drawing: name of the model-changing action method. For bar graph: {setPrimaryAttribute, setSecondaryAttribute, setYAxisLabel}",The type of content change. Possible values depends on the tile type.
target,string,"board, image, moveableLine, object, point, polygon, vertex, vertexAngle, circle","Geometry tile: type of content object being modified; ""object"" used when type is multiple or ambiguous"
targetId,string or string[],,Geometry tile: ID(s) of objects being operated on
userAction,string,"drag point, drag segment, drag polygon, join to polygon, rotate, keyboard, paste, duplicate, zoom in, zoom out, fit all, place center/tangent point, join center/tangent point to circle, change color",Geometry tile: method by which the change was requested - eg move can be via dragging or via keyboard command
labelOption,string,"none, value, length","Geometry tile: type of labeling selected for object. ""length"" is used for coordinate positions, segment lengths"
text,string,,Geometry tile: text of comment or name of labeled object. Bar graph tile: text of axis label
